messageid,roleid,emoji,removalid
613425588425850917,,ğŸ‘,617076228481875980
615686381586612239,616761979322892291,ğŸ‘,
776155071234048030,776164864216530954,cod,
776155071234048030,722590338014773379,valorant,
776155071234048030,668574579257507841,tarkov,
776155071234048030,776163796342931466,csgo,
776155071234048030,758866844253421608,sus,
776128879625764884,612783689725640734,global,
776128879625764884,547218322534432770,intermediate,
776128879625764884,547218262622994442,silver,
776128879625764884,776203599340240897,wood,
776217030285852722,776216721480220702,ğŸ’»,
776217030285852722,776216774500286464,ğŸ’ª,
